zone,valid_pt,t2m_c,ssrd_wm2,wind100,Date
NP15,2025-05-26 06:00:00,9.875673243617427,1.2945589697733522,1.451491086619325,2025-05-26
NP15,2025-05-26 07:00:00,11.572444094175808,77.41897649723415,1.0394368117734276,2025-05-26
NP15,2025-05-26 08:00:00,13.84935240085025,255.914249507462,0.9549516636776916,2025-05-26
NP15,2025-05-26 09:00:00,15.73945678059414,454.96940679058434,1.1530805027816105,2025-05-26
NP15,2025-05-26 10:00:00,17.536008927286332,643.5279222715025,1.3145887024205116,2025-05-26
NP15,2025-05-26 11:00:00,19.24970928664402,802.287414198675,1.5419164069120828,2025-05-26
NP15,2025-05-26 12:00:00,20.76523735015309,916.5735289981258,1.882572356016467,2025-05-26
NP15,2025-05-26 13:00:00,22.02142830807543,974.4895355773758,2.2025414678113835,2025-05-26
NP15,2025-05-26 14:00:00,22.96481389169236,973.0443340890276,2.3743045805380887,2025-05-26
NP15,2025-05-26 15:00:00,23.59522533075034,912.4336792497356,2.450480617954561,2025-05-26
NP15,2025-05-26 16:00:00,23.86578360003216,807.8482981864425,2.5815390079173817,2025-05-26
NP15,2025-05-26 17:00:00,23.13597779662655,652.2670648393014,2.560681170525642,2025-05-26
NP15,2025-05-26 18:00:00,22.627038474838685,473.6889040657754,2.5469594840140006,2025-05-26
NP15,2025-05-26 19:00:00,21.608358505471983,282.37870533725146,2.438088701837192,2025-05-26
NP15,2025-05-26 20:00:00,19.295290662452487,100.24578181462776,2.207314596657092,2025-05-26
NP15,2025-05-26 21:00:00,17.172573459001114,3.9293787958255657,1.6390476621591974,2025-05-26
NP15,2025-05-26 22:00:00,15.86680219788326,0.0,1.0088728375838882,2025-05-26
NP15,2025-05-26 23:00:00,14.774294518063812,0.0,1.0230581087783126,2025-05-26
NP15,2025-05-27 00:00:00,13.923567458589504,0.0,1.4147975426776291,2025-05-27
NP15,2025-05-27 01:00:00,13.270359431755082,0.0,1.8820870823151488,2025-05-27
NP15,2025-05-27 02:00:00,12.783958823223202,0.0,2.10448148287332,2025-05-27
NP15,2025-05-27 03:00:00,12.432098016053374,0.0,2.1774762784528376,2025-05-27
NP15,2025-05-27 04:00:00,12.182175593946,0.0,2.1656656112073844,2025-05-27
NP15,2025-05-27 05:00:00,11.942570889299644,0.0,2.0655203715654906,2025-05-27
NP15,2025-05-27 06:00:00,11.84871521729292,1.578622205649606,1.9780402715361056,2025-05-27
NP15,2025-05-27 07:00:00,14.219644380296586,82.88175549144857,1.8092993603692595,2025-05-27
NP15,2025-05-27 08:00:00,17.75174851987606,260.7564887536483,1.4882696427663085,2025-05-27
NP15,2025-05-27 09:00:00,20.45355577939677,458.9799076283661,0.9602567499395668,2025-05-27
NP15,2025-05-27 10:00:00,22.787065204915336,646.0564542654674,0.8526794743634766,2025-05-27
NP15,2025-05-27 11:00:00,24.8026089712418,802.616515995529,0.5912684442626932,2025-05-27
NP15,2025-05-27 12:00:00,26.465413892953507,915.423386521124,0.7762150423554024,2025-05-27
NP15,2025-05-27 13:00:00,27.68777159680224,972.005950417622,1.4494242095698102,2025-05-27
NP15,2025-05-27 14:00:00,28.50769789055761,970.118965221542,2.0524772345335425,2025-05-27
NP15,2025-05-27 15:00:00,28.91921548507236,905.0658253863352,2.4939236129693327,2025-05-27
NP15,2025-05-27 16:00:00,28.914266546746376,792.6319350295369,2.909626429085737,2025-05-27
NP15,2025-05-27 17:00:00,27.64339154644216,643.1747305572271,3.461416348645909,2025-05-27
NP15,2025-05-27 18:00:00,26.64757593252881,462.5910849821733,3.723388537382314,2025-05-27
NP15,2025-05-27 19:00:00,25.07341386331916,273.2179037272423,3.735265487943817,2025-05-27
NP15,2025-05-27 20:00:00,22.397737239214337,99.09881451518896,3.546493901294031,2025-05-27
NP15,2025-05-27 21:00:00,20.038741902132813,4.212726198753549,3.1559493557691325,2025-05-27
NP15,2025-05-27 22:00:00,18.49324553141679,0.0,2.651655169638724,2025-05-27
NP15,2025-05-27 23:00:00,17.196649944662568,0.0,2.3228512790319247,2025-05-27
NP15,2025-05-28 00:00:00,16.14387450870521,0.0,2.097180954100258,2025-05-28
NP15,2025-05-28 01:00:00,15.22892092922848,0.0,1.880455059753852,2025-05-28
NP15,2025-05-28 02:00:00,14.429906058812035,0.0,1.700154737269045,2025-05-28
NP15,2025-05-28 03:00:00,13.720039867407197,0.0,1.440003866265449,2025-05-28
NP15,2025-05-28 04:00:00,13.119538125295549,0.0,1.1859111741148995,2025-05-28
NP15,2025-05-28 05:00:00,12.527429790136807,0.0,0.9202010751163616,2025-05-28
NP15,2025-05-28 06:00:00,12.085153032294045,1.700717798470416,0.5746681501316697,2025-05-28
NP15,2025-05-28 07:00:00,14.043049442052109,81.67851006624082,0.2838722869267157,2025-05-28
NP15,2025-05-28 08:00:00,17.282440842216943,256.7369008971916,0.2309838639451058,2025-05-28
NP15,2025-05-28 09:00:00,19.645142508519086,455.469017485939,0.4525037987186288,2025-05-28
NP15,2025-05-28 10:00:00,21.807565280519384,644.8471861830943,0.5141461950533607,2025-05-28
NP15,2025-05-28 11:00:00,23.761658018888625,802.65152063924,0.8458838826120719,2025-05-28
NP15,2025-05-28 12:00:00,25.402081843998133,917.0094146395352,1.568635255479326,2025-05-28
NP15,2025-05-28 13:00:00,26.66287016652251,976.872021176515,2.545190798042718,2025-05-28
NP15,2025-05-28 14:00:00,27.49090661002583,970.8372160851728,3.461255029938452,2025-05-28
NP15,2025-05-28 15:00:00,27.87777369368564,918.8971615214128,4.06774870782041,2025-05-28
NP15,2025-05-28 16:00:00,27.755950493555588,807.3821095889475,4.48994380777267,2025-05-28
NP15,2025-05-28 17:00:00,27.138145631386863,656.9066366352793,4.347829425145447,2025-05-28
NP15,2025-05-28 18:00:00,26.120698249556256,478.8759584430284,4.235646574339367,2025-05-28
NP15,2025-05-28 19:00:00,24.49653187233838,285.59560795912,4.101962234357439,2025-05-28
NP15,2025-05-28 20:00:00,21.728731816907896,103.50248695283612,3.791890251036346,2025-05-28
NP15,2025-05-28 21:00:00,19.28052161291373,4.582494275553359,3.115068818287822,2025-05-28
NP15,2025-05-28 22:00:00,17.676678425586204,0.0,2.1613432585207293,2025-05-28
NP15,2025-05-28 23:00:00,16.366178233407254,0.0,1.4553158656577625,2025-05-28
NP15,2025-05-29 00:00:00,15.275056724754052,0.0,1.270717479347642,2025-05-29
NP15,2025-05-29 01:00:00,14.35229059342339,0.0,1.3184034246105845,2025-05-29
NP15,2025-05-29 02:00:00,13.593533219741062,0.0,1.232158251193612,2025-05-29
NP15,2025-05-29 03:00:00,12.997348035137977,0.0,0.9334476782118966,2025-05-29
NP15,2025-05-29 04:00:00,12.492235760710798,0.0,0.3245656541356566,2025-05-29
NP15,2025-05-29 05:00:00,11.991540857728978,0.0,0.3750366455266569,2025-05-29
NP15,2025-05-29 06:00:00,11.702096387704728,1.8687563507465847,0.7577349770190673,2025-05-29
NP15,2025-05-29 07:00:00,13.950312868056017,85.16516218475894,1.0441300569098255,2025-05-29
